# ref-type-bench-v2
# unix_time: "1789342045"
# git_commit: "unavailable"
# git_status: "unavailable"
# rustc: "rustc 1.98.1 (48a229cea 2026-09-01)\nbinary: rustc\ncommit-hash: 48a229ceaefd4985c50990b14116b6d856af0985\ncommit-date: 2026-09-01\nhost: x86_64-unknown-linux-gnu\nrelease: 1.98.1\nLLVM version: 22.1.8"
# system: "Linux N-DESKTOP-2 6.18.33.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun 18 21:54:43 UTC 2026 x86_64 x86_64 x86_64 GNU/Linux"
# cpu: "model name\t: 12th Gen Intel(R) Core(TM) i5-12400"
# cpu_affinity: "Cpus_allowed_list:\t0"
# RUSTFLAGS: ""
# CARGO_ENCODED_RUSTFLAGS: ""
# config: "Args { filter: \"\", list: false, samples: 10, warmup_ms: 200, sample_ms: 50, save_baseline: Some(\"after-1\"), baseline: None, output_dir: \"/home/namaniyu/source/ref-type/target/benchmarks/refactor-comparison\", bench: false }"
case	sample	iterations	elapsed_ns	ns_per_iteration
parse/mccarthy91	0	538	46284279	86030.258364
parse/mccarthy91	1	482	46451012	96371.394191
parse/mccarthy91	2	550	46049543	83726.441818
parse/mccarthy91	3	445	48486029	108957.368539
parse/mccarthy91	4	552	46413542	84082.503623
parse/mccarthy91	5	464	46422699	100048.920259
parse/mccarthy91	6	430	37831191	87979.513953
parse/mccarthy91	7	450	46163262	102585.026667
parse/mccarthy91	8	420	46634089	111033.545238
parse/mccarthy91	9	491	46357900	94415.274949
load/library	0	6	36876809	6146134.833333
load/library	1	6	37095768	6182628.000000
load/library	2	6	34282056	5713676.000000
load/library	3	6	36261726	6043621.000000
load/library	4	6	35483500	5913916.666667
load/library	5	6	37903971	6317328.500000
load/library	6	6	38767898	6461316.333333
load/library	7	6	35405926	5900987.666667
load/library	8	6	33369671	5561611.833333
load/library	9	6	35989921	5998320.166667
check/library	0	1	2639797802	2639797802.000000
check/library	1	1	2559244142	2559244142.000000
check/library	2	1	2499182857	2499182857.000000
check/library	3	1	2565249239	2565249239.000000
check/library	4	1	2551897398	2551897398.000000
check/library	5	1	2481617823	2481617823.000000
check/library	6	1	2487205686	2487205686.000000
check/library	7	1	2732546126	2732546126.000000
check/library	8	1	2529342772	2529342772.000000
check/library	9	1	2568734168	2568734168.000000
pipeline/library	0	1	2618198997	2618198997.000000
pipeline/library	1	1	2608337374	2608337374.000000
pipeline/library	2	1	2660507125	2660507125.000000
pipeline/library	3	1	2658581424	2658581424.000000
pipeline/library	4	1	2682291856	2682291856.000000
pipeline/library	5	1	2647018627	2647018627.000000
pipeline/library	6	1	2595170833	2595170833.000000
pipeline/library	7	1	2541284211	2541284211.000000
pipeline/library	8	1	2563174673	2563174673.000000
pipeline/library	9	1	2524384368	2524384368.000000
pipeline/mccarthy91	0	1	46111933	46111933.000000
pipeline/mccarthy91	1	1	45081895	45081895.000000
pipeline/mccarthy91	2	1	47376126	47376126.000000
pipeline/mccarthy91	3	1	54891891	54891891.000000
