# ref-type-bench-v2
# unix_time: "1789342184"
# git_commit: "unavailable"
# git_status: "unavailable"
# rustc: "rustc 1.98.1 (48a229cea 2026-09-01)\nbinary: rustc\ncommit-hash: 48a229ceaefd4985c50990b14116b6d856af0985\ncommit-date: 2026-09-01\nhost: x86_64-unknown-linux-gnu\nrelease: 1.98.1\nLLVM version: 22.1.8"
# system: "Linux N-DESKTOP-2 6.18.33.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun 18 21:54:43 UTC 2026 x86_64 x86_64 x86_64 GNU/Linux"
# cpu: "model name\t: 12th Gen Intel(R) Core(TM) i5-12400"
# cpu_affinity: "Cpus_allowed_list:\t0"
# RUSTFLAGS: ""
# CARGO_ENCODED_RUSTFLAGS: ""
# config: "Args { filter: \"\", list: false, samples: 10, warmup_ms: 200, sample_ms: 50, save_baseline: Some(\"before-2\"), baseline: None, output_dir: \"/home/namaniyu/source/ref-type/target/benchmarks/refactor-comparison\", bench: false }"
case	sample	iterations	elapsed_ns	ns_per_iteration
parse/mccarthy91	0	493	46483872	94287.772819
parse/mccarthy91	1	553	46425717	83952.471971
parse/mccarthy91	2	519	46383281	89370.483622
parse/mccarthy91	3	551	46398504	84207.811252
parse/mccarthy91	4	526	46398273	88209.644487
parse/mccarthy91	5	525	46479946	88533.230476
parse/mccarthy91	6	551	46360624	84139.063521
parse/mccarthy91	7	436	44737316	102608.522936
parse/mccarthy91	8	455	46571283	102354.468132
parse/mccarthy91	9	535	46496121	86908.637383
load/library	0	7	41179487	5882783.857143
load/library	1	7	39446852	5635264.571429
load/library	2	6	33892020	5648670.000000
load/library	3	6	36699658	6116609.666667
load/library	4	7	42081564	6011652.000000
load/library	5	7	40832355	5833193.571429
load/library	6	6	36703202	6117200.333333
load/library	7	7	40632057	5804579.571429
load/library	8	6	37616148	6269358.000000
load/library	9	6	36171345	6028557.500000
check/library	0	1	6004516647	6004516647.000000
check/library	1	1	5503549965	5503549965.000000
check/library	2	1	5491713915	5491713915.000000
check/library	3	1	5499625040	5499625040.000000
check/library	4	1	5477192064	5477192064.000000
check/library	5	1	5528550260	5528550260.000000
check/library	6	1	5527424203	5527424203.000000
check/library	7	1	5543022956	5543022956.000000
check/library	8	1	5510581660	5510581660.000000
check/library	9	1	5459578923	5459578923.000000
pipeline/library	0	1	5518244056	5518244056.000000
pipeline/library	1	1	5490331576	5490331576.000000
pipeline/library	2	1	5447532121	5447532121.000000
pipeline/library	3	1	5472906485	5472906485.000000
pipeline/library	4	1	5493830959	5493830959.000000
pipeline/library	5	1	5549579916	5549579916.000000
pipeline/library	6	1	5528567649	5528567649.000000
pipeline/library	7	1	5494037502	5494037502.000000
pipeline/library	8	1	5473188019	5473188019.000000
pipeline/library	9	1	5577082351	5577082351.000000
pipeline/mccarthy91	0	2	86703796	43351898.000000
pipeline/mccarthy91	1	2	88129126	44064563.000000
pipeline/mccarthy91	2	1	46610736	46610736.000000
pipeline/mccarthy91	3	1	43638984	43638984.000000
pipeline/mccarthy91	4	1	47829173	47829173.000000
pipeline/mccarthy91	5	1	51280919	51280919.000000
pipeline/mccarthy91	6	1	46884355	46884355.000000
pipeline/mccarthy91	7	1	43479858	43479858.000000
pipeline/mccarthy91	8	1	43817789	43817789.000000
pipeline/mccarthy91	9	1	41808395	41808395.000000
instantiate/128x16-unused	0	32	47460262	1483133.187500
instantiate/128x16-unused	1	26	48497362	1865283.153846
instantiate/128x16-unused	2	25	48091309	1923652.360000
instantiate/128x16-unused	3	31	48380462	1560660.064516
instantiate/128x16-unused	4	30	47766250	1592208.333333
instantiate/128x16-unused	5	32	48292715	1509147.343750
instantiate/128x16-unused	6	31	48060524	1550339.483871
instantiate/128x16-unused	7	30	48112534	1603751.133333
instantiate/128x16-unused	8	32	48141861	1504433.156250
instantiate/128x16-unused	9	26	48658701	1871488.500000
instantiate/128x16-one-each	0	30	47683320	1589444.000000
instantiate/128x16-one-each	1	28	47392961	1692605.750000
instantiate/128x16-one-each	2	28	48592799	1735457.107143
instantiate/128x16-one-each	3	25	46990945	1879637.800000
instantiate/128x16-one-each	4	30	48048940	1601631.333333
instantiate/128x16-one-each	5	30	48182138	1606071.266667
instantiate/128x16-one-each	6	31	47447594	1530567.548387
instantiate/128x16-one-each	7	30	48122930	1604097.666667
instantiate/128x16-one-each	8	30	47029227	1567640.900000
instantiate/128x16-one-each	9	29	47413929	1634963.068966
normalize/beta256	0	5557	36130959	6501.882131
normalize/beta256	1	5007	36209000	7231.675654
normalize/beta256	2	4828	35438302	7340.161972
normalize/beta256	3	5409	35992869	6654.255685
normalize/beta256	4	5458	35945269	6585.794980
normalize/beta256	5	5266	36126936	6860.413217
normalize/beta256	6	5529	36324074	6569.736661
normalize/beta256	7	5374	35606580	6625.712691
normalize/beta256	8	5626	35861459	6374.237291
normalize/beta256	9	5190	36155888	6966.452408
kernel/closure64x128	0	3	56974184	18991394.666667
kernel/closure64x128	1	3	57217315	19072438.333333
kernel/closure64x128	2	3	59942901	19980967.000000
kernel/closure64x128	3	3	59913467	19971155.666667
kernel/closure64x128	4	3	53782924	17927641.333333
kernel/closure64x128	5	3	54014869	18004956.333333
kernel/closure64x128	6	3	52910842	17636947.333333
kernel/closure64x128	7	3	60277110	20092370.000000
kernel/closure64x128	8	3	60994075	20331358.333333
kernel/closure64x128	9	2	51168716	25584358.000000
evaluate/countdown32	0	49	9291577	189624.020408
evaluate/countdown32	1	49	9207593	187910.061224
evaluate/countdown32	2	48	9459676	197076.583333
evaluate/countdown32	3	48	9192759	191515.812500
evaluate/countdown32	4	43	9236048	214791.813953
evaluate/countdown32	5	50	9486175	189723.500000
evaluate/countdown32	6	52	9378172	180349.461538
evaluate/countdown32	7	49	9686374	197681.102041
evaluate/countdown32	8	50	9194512	183890.240000
evaluate/countdown32	9	46	9384574	204012.478261
evaluate/countdown128	0	7	17619276	2517039.428571
evaluate/countdown128	1	6	20806358	3467726.333333
evaluate/countdown128	2	7	18768536	2681219.428571
evaluate/countdown128	3	6	20224343	3370723.833333
evaluate/countdown128	4	5	19123397	3824679.400000
evaluate/countdown128	5	6	16702384	2783730.666667
evaluate/countdown128	6	5	17138439	3427687.800000
evaluate/countdown128	7	7	18963728	2709104.000000
evaluate/countdown128	8	6	16717071	2786178.500000
evaluate/countdown128	9	4	26122157	6530539.250000
# complete
