case	before_ms	after_ms	change_percent	before_cv_percent	after_cv_percent
parse/mccarthy91	0.091567	0.086062	-6.01	9.00	9.89
load/library	5.943847	5.907629	-0.61	5.36	5.99
check/library	5508.143547	2562.246691	-53.48	2.05	2.34
pipeline/library	5514.709759	2647.057417	-52.00	2.23	3.47
pipeline/mccarthy91	47.180852	46.873934	-0.65	7.00	7.55
instantiate/128x16-unused	1.562163	1.557276	-0.31	8.03	3.95
instantiate/128x16-one-each	1.606288	1.697703	+5.69	5.01	6.41
normalize/beta256	0.006628	0.006650	+0.34	3.77	9.21
kernel/closure64x128	19.976061	0.005600	-99.97	9.71	6.25
evaluate/countdown32	0.198548	0.194676	-1.95	6.80	7.82
evaluate/countdown128	2.784833	2.852866	+2.44	28.95	9.92
