# ref-type-bench-v2
# unix_time: "1789346523"
# git_commit: "unavailable"
# git_status: "unavailable"
# rustc: "rustc 1.98.1 (48a229cea 2026-09-01)\nbinary: rustc\ncommit-hash: 48a229ceaefd4985c50990b14116b6d856af0985\ncommit-date: 2026-09-01\nhost: x86_64-unknown-linux-gnu\nrelease: 1.98.1\nLLVM version: 22.1.8"
# system: "Linux N-DESKTOP-2 6.18.33.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun 18 21:54:43 UTC 2026 x86_64 x86_64 x86_64 GNU/Linux"
# cpu: "model name\t: 12th Gen Intel(R) Core(TM) i5-12400"
# cpu_affinity: "Cpus_allowed_list:\t0"
# RUSTFLAGS: ""
# CARGO_ENCODED_RUSTFLAGS: ""
# config: "Args { filter: \"\", list: false, samples: 10, warmup_ms: 1000, sample_ms: 200, save_baseline: Some(\"after-1\"), baseline: None, output_dir: \"/home/namaniyu/source/ref-type/target/benchmarks/front-refactor-final-results\", bench: false }"
case	sample	iterations	elapsed_ns	ns_per_iteration
parse/mccarthy91	0	2302	185227211	80463.601651
parse/mccarthy91	1	2184	185220860	84808.086081
parse/mccarthy91	2	2273	184587775	81208.875935
parse/mccarthy91	3	2269	184858955	81471.553548
parse/mccarthy91	4	2031	215937619	106320.836534
parse/mccarthy91	5	2226	185319456	83252.226415
parse/mccarthy91	6	2243	185270271	82599.318324
parse/mccarthy91	7	2157	184934030	85736.685211
parse/mccarthy91	8	2101	185198171	88147.630176
parse/mccarthy91	9	1996	184796839	92583.586673
load/library	0	24	140739478	5864144.916667
load/library	1	27	147596524	5466537.925926
load/library	2	26	144908864	5573417.846154
load/library	3	24	143403363	5975140.125000
load/library	4	26	147912167	5688929.500000
load/library	5	26	143357713	5513758.192308
load/library	6	26	146768842	5644955.461538
load/library	7	27	146940387	5442236.555556
load/library	8	27	146004944	5407590.518519
load/library	9	26	149072082	5733541.615385
check/library	0	1	2413127871	2413127871.000000
check/library	1	1	2368535414	2368535414.000000
check/library	2	1	2408331264	2408331264.000000
check/library	3	1	2479205378	2479205378.000000
check/library	4	1	2609513828	2609513828.000000
check/library	5	1	2509311985	2509311985.000000
check/library	6	1	2383540849	2383540849.000000
check/library	7	1	2358203291	2358203291.000000
check/library	8	1	2388261451	2388261451.000000
check/library	9	1	2382979380	2382979380.000000
pipeline/library	0	1	2393964597	2393964597.000000
pipeline/library	1	1	2449114889	2449114889.000000
pipeline/library	2	1	2488569322	2488569322.000000
pipeline/library	3	1	2649824399	2649824399.000000
pipeline/library	4	1	2577452670	2577452670.000000
pipeline/library	5	1	2439338858	2439338858.000000
pipeline/library	6	1	2533913037	2533913037.000000
pipeline/library	7	1	2503779223	2503779223.000000
pipeline/library	8	1	2406995603	2406995603.000000
pipeline/library	9	1	2309483051	2309483051.000000
pipeline/mccarthy91	0	5	213557555	42711511.000000
pipeline/mccarthy91	1	5	220919339	44183867.800000
pipeline/mccarthy91	2	4	180105035	45026258.750000
pipeline/mccarthy91	3	4	182494547	45623636.750000
pipeline/mccarthy91	4	4	182575260	45643815.000000
pipeline/mccarthy91	5	5	211304500	42260900.000000
pipeline/mccarthy91	6	5	217440587	43488117.400000
pipeline/mccarthy91	7	5	216905596	43381119.200000
pipeline/mccarthy91	8	4	181867138	45466784.500000
pipeline/mccarthy91	9	4	185155634	46288908.500000
instantiate/128x16-unused	0	129	188361127	1460163.775194
instantiate/128x16-unused	1	129	188774641	1463369.310078
instantiate/128x16-unused	2	125	189660059	1517280.472000
instantiate/128x16-unused	3	126	188540864	1496356.063492
instantiate/128x16-unused	4	124	188057896	1516595.935484
instantiate/128x16-unused	5	120	188437679	1570313.991667
instantiate/128x16-unused	6	122	189138809	1550318.106557
instantiate/128x16-unused	7	124	188730769	1522022.330645
instantiate/128x16-unused	8	125	189128998	1513031.984000
instantiate/128x16-unused	9	116	187780646	1618798.672414
instantiate/128x16-one-each	0	116	188471594	1624755.120690
instantiate/128x16-one-each	1	104	189188400	1819119.230769
instantiate/128x16-one-each	2	104	189160002	1818846.173077
instantiate/128x16-one-each	3	109	188164984	1726284.256881
instantiate/128x16-one-each	4	117	187998485	1606824.658120
instantiate/128x16-one-each	5	122	189034949	1549466.795082
instantiate/128x16-one-each	6	122	189157230	1550469.098361
instantiate/128x16-one-each	7	119	187344186	1574320.890756
instantiate/128x16-one-each	8	124	190496540	1536262.419355
instantiate/128x16-one-each	9	121	187796203	1552034.735537
normalize/beta256	0	23745	141172003	5945.335987
normalize/beta256	1	22429	140452868	6262.110125
normalize/beta256	2	22101	139505910	6312.198996
normalize/beta256	3	22675	140638686	6202.367630
normalize/beta256	4	23958	141467528	5904.813757
normalize/beta256	5	23986	141881732	5915.189360
normalize/beta256	6	23178	141010246	6083.796963
normalize/beta256	7	23169	140840860	6078.849325
normalize/beta256	8	23575	141830294	6016.131241
normalize/beta256	9	22233	140495893	6319.250349
kernel/closure64x128	0	8138	49044120	6026.556894
kernel/closure64x128	1	7992	48757143	6100.743619
kernel/closure64x128	2	7571	49110265	6486.628583
kernel/closure64x128	3	8966	48821713	5445.205554
kernel/closure64x128	4	8930	48349322	5414.257783
kernel/closure64x128	5	8874	48574784	5473.831868
kernel/closure64x128	6	9080	48594103	5351.773458
kernel/closure64x128	7	9007	48443234	5378.398357
kernel/closure64x128	8	9081	48352712	5324.602136
kernel/closure64x128	9	8888	48414606	5447.187894
evaluate/countdown32	0	227	41878532	184486.925110
evaluate/countdown32	1	209	41223917	197243.622010
evaluate/countdown32	2	213	41920519	196809.948357
evaluate/countdown32	3	205	41717153	203498.307317
evaluate/countdown32	4	227	41480083	182731.643172
evaluate/countdown32	5	222	41770671	188156.175676
evaluate/countdown32	6	188	42702270	227139.734043
evaluate/countdown32	7	211	41181674	195173.810427
evaluate/countdown32	8	203	40915965	201556.477833
evaluate/countdown32	9	215	41999948	195348.595349
evaluate/countdown128	0	24	77675907	3236496.125000
evaluate/countdown128	1	25	77106733	3084269.320000
evaluate/countdown128	2	27	78995231	2925749.296296
evaluate/countdown128	3	29	79683361	2747702.103448
evaluate/countdown128	4	31	78151713	2521023.000000
evaluate/countdown128	5	31	75724497	2442725.709677
evaluate/countdown128	6	30	78182778	2606092.600000
evaluate/countdown128	7	26	79548439	3059555.346154
evaluate/countdown128	8	27	77739179	2879228.851852
evaluate/countdown128	9	26	81419143	3131505.500000
# complete
