# ref-type-bench-v2
# unix_time: "1789346435"
# git_commit: "unavailable"
# git_status: "unavailable"
# rustc: "rustc 1.98.1 (48a229cea 2026-09-01)\nbinary: rustc\ncommit-hash: 48a229ceaefd4985c50990b14116b6d856af0985\ncommit-date: 2026-09-01\nhost: x86_64-unknown-linux-gnu\nrelease: 1.98.1\nLLVM version: 22.1.8"
# system: "Linux N-DESKTOP-2 6.18.33.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun 18 21:54:43 UTC 2026 x86_64 x86_64 x86_64 GNU/Linux"
# cpu: "model name\t: 12th Gen Intel(R) Core(TM) i5-12400"
# cpu_affinity: "Cpus_allowed_list:\t0"
# RUSTFLAGS: ""
# CARGO_ENCODED_RUSTFLAGS: ""
# config: "Args { filter: \"\", list: false, samples: 10, warmup_ms: 1000, sample_ms: 200, save_baseline: Some(\"before-1\"), baseline: None, output_dir: \"/home/namaniyu/source/ref-type/target/benchmarks/front-refactor-final-results\", bench: false }"
case	sample	iterations	elapsed_ns	ns_per_iteration
parse/mccarthy91	0	2116	185667185	87744.416352
parse/mccarthy91	1	2207	185585306	84089.400091
parse/mccarthy91	2	2173	185471143	85352.573861
parse/mccarthy91	3	2123	185661938	87452.632124
parse/mccarthy91	4	2093	185339635	88552.142857
parse/mccarthy91	5	2100	185745812	88450.386667
parse/mccarthy91	6	2118	184370737	87049.450897
parse/mccarthy91	7	2179	185455496	85110.369894
parse/mccarthy91	8	2153	184783001	85825.824895
parse/mccarthy91	9	2108	185011393	87766.315465
load/library	0	24	144724418	6030184.083333
load/library	1	23	140777646	6120767.217391
load/library	2	23	139522487	6066195.086957
load/library	3	24	145694779	6070615.791667
load/library	4	21	137326097	6539337.952381
load/library	5	22	139291644	6331438.363636
load/library	6	22	136971253	6225966.045455
load/library	7	21	135362081	6445813.380952
load/library	8	20	131193252	6559662.600000
load/library	9	23	141051450	6132671.739130
check/library	0	1	2535971733	2535971733.000000
check/library	1	1	2549954702	2549954702.000000
check/library	2	1	2669976096	2669976096.000000
check/library	3	1	2667233044	2667233044.000000
check/library	4	1	2558682410	2558682410.000000
check/library	5	1	2479348046	2479348046.000000
check/library	6	1	2482760948	2482760948.000000
check/library	7	1	2513676451	2513676451.000000
check/library	8	1	2653921184	2653921184.000000
check/library	9	1	2714173131	2714173131.000000
pipeline/library	0	1	2493782578	2493782578.000000
pipeline/library	1	1	2437673468	2437673468.000000
pipeline/library	2	1	2452805705	2452805705.000000
pipeline/library	3	1	2497240037	2497240037.000000
pipeline/library	4	1	2561066566	2561066566.000000
pipeline/library	5	1	2511901478	2511901478.000000
pipeline/library	6	1	2376456584	2376456584.000000
pipeline/library	7	1	2570635038	2570635038.000000
pipeline/library	8	1	2493829780	2493829780.000000
pipeline/library	9	1	2421994513	2421994513.000000
pipeline/mccarthy91	0	4	199147537	49786884.250000
pipeline/mccarthy91	1	4	204614500	51153625.000000
pipeline/mccarthy91	2	4	198570153	49642538.250000
pipeline/mccarthy91	3	4	184600410	46150102.500000
pipeline/mccarthy91	4	4	182673430	45668357.500000
pipeline/mccarthy91	5	4	197150891	49287722.750000
pipeline/mccarthy91	6	4	193447653	48361913.250000
pipeline/mccarthy91	7	4	179248685	44812171.250000
pipeline/mccarthy91	8	4	181275825	45318956.250000
pipeline/mccarthy91	9	4	176571415	44142853.750000
instantiate/128x16-unused	0	125	188381075	1507048.600000
instantiate/128x16-unused	1	128	188324997	1471289.039062
instantiate/128x16-unused	2	129	189385749	1468106.581395
instantiate/128x16-unused	3	126	188011556	1492155.206349
instantiate/128x16-unused	4	125	188618418	1508947.344000
instantiate/128x16-unused	5	120	188194908	1568290.900000
instantiate/128x16-unused	6	123	187926647	1527858.918699
instantiate/128x16-unused	7	120	189172204	1576435.033333
instantiate/128x16-unused	8	113	188701153	1669921.707965
instantiate/128x16-unused	9	122	188518805	1545236.106557
instantiate/128x16-one-each	0	126	189193216	1501533.460317
instantiate/128x16-one-each	1	123	189452429	1540263.650407
instantiate/128x16-one-each	2	125	189163806	1513310.448000
instantiate/128x16-one-each	3	120	188766906	1573057.550000
instantiate/128x16-one-each	4	114	189349199	1660957.885965
instantiate/128x16-one-each	5	113	188237345	1665817.212389
instantiate/128x16-one-each	6	117	188225909	1608768.452991
instantiate/128x16-one-each	7	124	188571142	1520735.016129
instantiate/128x16-one-each	8	122	188858751	1548022.549180
instantiate/128x16-one-each	9	123	189017171	1536724.967480
normalize/beta256	0	22818	138452303	6067.679157
normalize/beta256	1	22464	140327576	6246.775997
normalize/beta256	2	23539	140750984	5979.480182
normalize/beta256	3	23544	140684604	5975.390928
normalize/beta256	4	23849	141518176	5933.924944
normalize/beta256	5	23560	140666176	5970.550764
normalize/beta256	6	23515	140687908	5982.900617
normalize/beta256	7	23359	140948744	6034.023032
normalize/beta256	8	23285	140660371	6040.814731
normalize/beta256	9	23634	141192972	5974.146230
kernel/closure64x128	0	9596	49723218	5181.660900
kernel/closure64x128	1	9596	49511416	5159.588995
kernel/closure64x128	2	9651	49939556	5174.547301
kernel/closure64x128	3	9285	50152060	5401.406570
kernel/closure64x128	4	9526	49893641	5237.627651
kernel/closure64x128	5	9630	49881675	5179.820872
