stage	case	before_ms	after_ms	change_percent	before_cv_percent	after_cv_percent	artifacts
initial	parse/mccarthy91	0.090173	0.088675	-1.66	8.41	17.65	target/benchmarks/front-refactor-comparison
initial	load/library	5.985335	5.920427	-1.08	6.71	5.72	target/benchmarks/front-refactor-comparison
initial	check/library	2536.026422	2481.248041	-2.16	2.34	2.76	target/benchmarks/front-refactor-comparison
initial	pipeline/library	2506.305395	2574.437927	+2.72	4.31	3.27	target/benchmarks/front-refactor-comparison
initial	pipeline/mccarthy91	48.193814	48.841772	+1.34	9.01	4.81	target/benchmarks/front-refactor-comparison
initial	instantiate/128x16-unused	1.605335	1.641540	+2.26	16.42	7.64	target/benchmarks/front-refactor-comparison
initial	instantiate/128x16-one-each	1.804851	1.738078	-3.70	16.74	7.81	target/benchmarks/front-refactor-comparison
initial	normalize/beta256	0.006882	0.006938	+0.80	9.71	3.84	target/benchmarks/front-refactor-comparison
initial	kernel/closure64x128	0.006076	0.005389	-11.31	13.38	8.72	target/benchmarks/front-refactor-comparison
initial	evaluate/countdown32	0.220366	0.215619	-2.15	10.64	8.90	target/benchmarks/front-refactor-comparison
initial	evaluate/countdown128	2.943833	3.228930	+9.68	11.85	9.71	target/benchmarks/front-refactor-comparison
evaluate-repeat	evaluate/countdown32	0.192310	0.214215	+11.39	12.53	17.75	target/benchmarks/front-refactor-evaluate
evaluate-repeat	evaluate/countdown128	2.515046	2.732221	+8.64	6.24	5.69	target/benchmarks/front-refactor-evaluate
evaluate-adjusted	evaluate/countdown32	0.208973	0.195741	-6.33	13.18	4.59	target/benchmarks/front-refactor-fast-path
evaluate-adjusted	evaluate/countdown128	2.668770	2.711850	+1.61	12.64	6.22	target/benchmarks/front-refactor-fast-path
generic-all	parse/mccarthy91	0.084941	0.089459	+5.32	2.91	4.27	target/benchmarks/front-refactor-final
generic-all	load/library	5.670090	5.927898	+4.55	2.80	3.85	target/benchmarks/front-refactor-final
generic-all	check/library	2479.845841	2511.805540	+1.29	2.99	2.01	target/benchmarks/front-refactor-final
generic-all	pipeline/library	2472.392180	2511.562602	+1.58	1.51	3.17	target/benchmarks/front-refactor-final
generic-all	pipeline/mccarthy91	45.247562	48.048430	+6.19	2.71	1.96	target/benchmarks/front-refactor-final
generic-all	instantiate/128x16-unused	1.593075	1.659380	+4.16	3.75	5.19	target/benchmarks/front-refactor-final
generic-all	instantiate/128x16-one-each	1.637289	1.703477	+4.04	4.57	4.44	target/benchmarks/front-refactor-final
generic-all	normalize/beta256	0.006236	0.006748	+8.22	3.60	5.80	target/benchmarks/front-refactor-final
generic-all	kernel/closure64x128	0.005516	0.005449	-1.21	5.47	3.62	target/benchmarks/front-refactor-final
generic-all	evaluate/countdown32	0.192406	0.207325	+7.75	3.39	9.37	target/benchmarks/front-refactor-final
generic-all	evaluate/countdown128	2.698817	2.884196	+6.87	4.63	6.71	target/benchmarks/front-refactor-final
generic-shared-types	evaluate/countdown32	0.185780	0.198410	+6.80	12.81	2.87	target/benchmarks/front-refactor-shared-types
generic-shared-types	evaluate/countdown128	2.500624	2.686580	+7.44	5.40	7.61	target/benchmarks/front-refactor-shared-types
specialized	evaluate/countdown32	0.200113	0.203111	+1.50	9.89	11.43	target/benchmarks/front-refactor-specialized
specialized	evaluate/countdown128	2.591420	2.571731	-0.76	8.10	5.61	target/benchmarks/front-refactor-specialized
remapping-all	parse/mccarthy91	0.092109	0.087529	-4.97	7.61	3.46	target/benchmarks/front-refactor-accepted
remapping-all	load/library	5.778277	5.872520	+1.63	4.77	3.37	target/benchmarks/front-refactor-accepted
remapping-all	check/library	2603.179843	2459.712968	-5.51	5.23	1.17	target/benchmarks/front-refactor-accepted
remapping-all	pipeline/library	2536.744954	2465.455830	-2.81	5.20	6.84	target/benchmarks/front-refactor-accepted
remapping-all	pipeline/mccarthy91	45.930461	45.520485	-0.89	3.13	2.15	target/benchmarks/front-refactor-accepted
remapping-all	instantiate/128x16-unused	1.534229	1.601007	+4.35	3.02	5.98	target/benchmarks/front-refactor-accepted
remapping-all	instantiate/128x16-one-each	1.631421	1.676751	+2.78	5.90	4.19	target/benchmarks/front-refactor-accepted
remapping-all	normalize/beta256	0.006288	0.006567	+4.44	2.58	3.51	target/benchmarks/front-refactor-accepted
remapping-all	kernel/closure64x128	0.005682	0.005434	-4.37	2.94	2.58	target/benchmarks/front-refactor-accepted
remapping-all	evaluate/countdown32	0.193446	0.208171	+7.61	2.47	9.41	target/benchmarks/front-refactor-accepted
remapping-all	evaluate/countdown128	2.744586	2.741597	-0.11	5.00	7.82	target/benchmarks/front-refactor-accepted
remapping-instantiate	instantiate/128x16-unused	1.569187	1.673291	+6.63	3.76	3.26	target/benchmarks/front-refactor-short-instantiate
remapping-instantiate	instantiate/128x16-one-each	1.629772	1.742073	+6.89	4.82	3.08	target/benchmarks/front-refactor-short-instantiate
