case	before_ms	after_ms	change_percent	before_cv_percent	after_cv_percent
parse/mccarthy91	0.084373	0.085272	+1.07	3.91	14.74
load/library	6.068405	5.700197	-6.07	8.32	6.45
check/library	2475.756058	2383.888397	-3.71	7.23	10.01
pipeline/library	2345.783833	2297.769970	-2.05	5.36	6.49
pipeline/mccarthy91	44.477513	43.339204	-2.56	9.76	3.92
instantiate/128x16-unused	1.469698	1.512482	+2.91	4.18	4.29
instantiate/128x16-one-each	1.528730	1.543789	+0.99	4.55	6.14
normalize/beta256	0.005952	0.005940	-0.21	5.30	3.96
kernel/closure64x128	0.005177	0.005461	+5.47	4.02	7.22
evaluate/countdown32	0.184680	0.185185	+0.27	6.19	6.48
evaluate/countdown128	2.468231	2.474286	+0.25	2.87	12.64
